material_id,formula,wyckoff,bandgap_pred_n0,bandgap_target
mp-1097383,Sr1 Sn1 Hg2,A2BC_pearson_71_e_a_b:Hg-Sn-Sr,0.0995,0.2036
mp-1246876,Mg2 Cr2 Ga2 S8,ABCD4_pearson_74_a_c_e_hi:Cr-Ga-Mg-S,1.1661,0.5817
mp-3922,Ag4 Sb4 S8,AB2C_pearson_15_ae_2f_f:Ag-S-Sb,1.1268,1.46
mp-23918,Na2 Ga2 H8,AB4C_pearson_63_c_fg_c:Ga-H-Na,4.7588,4.9716
mp-21327,Rb3 Ir1 N6 O12,AB6C12D3_pearson_225_a_e_h_bc:Ir-N-O-Rb,0.3078,0.0438
mp-21614,Sr4 V8 P8 O36,A9B2CD2_pearson_62_5c2d_2c_c_ac:O-P-Sr-V,1.3998,1.3604
mp-1197914,Cu4 H24 C8 Se4 Cl4,A2BCD6E_pearson_14_2e_e_e_6e_e:C-Cl-Cu-H-Se,2.3236,2.6288
mp-1209097,Rb2 Ta2 B4 O12,A2B6CD_pearson_31_b_2a2b_a_a:B-O-Rb-Ta,3.3935,3.4509
mp-558458,Mg12 Si4 O16 F8,A2B3C4D_pearson_62_d_cd_2cd_c:F-Mg-O-Si,3.8854,5.0611
mp-1567273,Mg2 Mn2 Ge4 O12,A2BCD6_pearson_15_f_e_e_3f:Ge-Mg-Mn-O,0.8531,1.3796
mp-850419,Mn1 V4 Ni1 O12,ABC12D4_pearson_5_a_b_6c_2c:Mn-Ni-O-V,2.0235,2.0117
mp-1227092,Ca1 Gd1 Al1 O4,ABCD4_pearson_107_a_a_a_2ab:Al-Ca-Gd-O,2.9033,2.7112
mp-541537,K16 Zn8 Si8 O32,A2B4CD_pearson_29_4a_8a_2a_2a:K-O-Si-Zn,3.4784,3.492
mp-1183023,Al4 S4 O40,AB10C_pearson_14_e_10e_e:Al-O-S,0.304,0.2066
mp-758096,Sb4 O4 F12,A3BC_pearson_113_ef_e_e:F-O-Sb,2.1704,1.9494
wbm-3-10215,Eu2 Te1 Br2,A2B2C_pearson_166_c_c_a:Br-Eu-Te,0.4551,0.48
wbm-1-14309,Sr2 Cu1 Bi1,ABC2_pearson_225_a_b_c:Bi-Cu-Sr,0.2326,0.16
wbm-1-39680,Yb2 Si2 O6,A3BC_pearson_140_ah_c_b:O-Si-Yb,4.0572,4.25
mp-5492,Sr6 Al12 O24,A2B4C_pearson_173_2c_4c_a2b:Al-O-Sr,4.2205,4.0564
mp-1113437,Rb2 Ag1 As1 Br6,ABC6D2_pearson_225_a_b_e_c:Ag-As-Br-Rb,1.0768,1.1007
mp-974724,Re4 Cl4 O12,AB3C_pearson_14_e_3e_e:Cl-O-Re,2.5066,3.5923
mp-22334,Fe4 Ge4 O12,ABC3_pearson_15_2e_f_3f:Fe-Ge-O,1.1824,1.968
wbm-1-7284,C8 Se8 F16,AB2C_pearson_4_4a_8a_4a:C-F-Se,3.1615,2.45
wbm-1-26474,Li1 In1 Si1,ABC_pearson_216_a_b_c:In-Li-Si,0.435,0.28
wbm-1-10866,Cu6 Se18 Cl6,ABC3_pearson_166_f_h_3h:Cl-Cu-Se,1.07,1.12
mp-557952,Rb4 In4 P8 O28,AB7C2D_pearson_14_e_7e_2e_e:In-O-P-Rb,3.901,3.8307
mp-765656,Na5 V7 O14,A5B14C7_pearson_2_b2i_7i_d3i:Na-O-V,0.8385,0.2202
wbm-2-15794,K1 Rb2 Gd1 F6,A6BCD2_pearson_2_3i_b_c_i:F-Gd-K-Rb,4.3927,4.55
mp-34291,Zr6 In2 F30,A15BC3_pearson_167_e2f_a_e:F-In-Zr,4.8468,5.4053
mp-757874,Li8 Si8 Bi8 O32,ABC4D_pearson_33_2a_2a_8a_2a:Bi-Li-O-Si,3.4437,3.0412
wbm-4-27724,Ba2 Lu1 V1 O6,A2BC6D_pearson_225_c_a_e_b:Ba-Lu-O-V,1.5045,1.59
wbm-2-36545,Tm2 V2 O7,A7B2C2_pearson_12_aij_h_i:O-Tm-V,0.5872,0.53
mp-4673,Sr4 Hf4 O12,AB3C_pearson_63_d_efg_2c:Hf-O-Sr,3.7475,3.9551
mp-17364,Th4 P8 Ru8,A2B2C_pearson_62_2c_2c_c:P-Ru-Th,0.02,0.1364
wbm-3-52445,Pu1 Sc1 O4,A4BC_pearson_166_2c_a_b:O-Pu-Sc,0.1305,0.06
mp-583981,Li2 Mo1 P2 O8,A2BC8D2_pearson_147_d_a_dg_d:Li-Mo-O-P,1.3524,1.9179
mp-25773,Mn16 Cl6 O20,A3B8C10_pearson_139_eh_abdim_gkn:Cl-Mn-O,0.228,0.4545
mp-28721,Pt2 S4 Cl16,A8BC2_pearson_14_4e_a_e:Cl-Pt-S,2.0856,1.9064
mp-685069,Sc8 Te12,A2B3_pearson_2_be3i_6i:Sc-Te,0.1396,0.0362
mp-1219791,Pr4 Zr4 N4 O8,AB2CD_pearson_14_e_2e_e_ad:N-O-Pr-Zr,1.8131,1.9717
wbm-1-14832,Cs1 Pb1 F3,AB3C_pearson_160_a_b_a:Cs-F-Pb,4.2372,2.99
wbm-3-55388,Nd2 V1 Ga1 O6,AB2C6D_pearson_12_a_i_ij_d:Ga-Nd-O-V,1.5332,1.92
mp-1211045,Li2 Gd4 Ru2 O12,A2BC6D_pearson_14_e_a_3e_d:Gd-Li-O-Ru,0.2263,0.1987
mp-9248,Cu4 Si2 S6,A2B3C_pearson_36_b_ab_a:Cu-S-Si,0.7699,1.3219
wbm-3-50915,Dy2 Er2 O6,ABC3_pearson_74_e_a_eg:Dy-Er-O,2.9251,2.79
wbm-3-36855,Li2 Nb2 F8,A4BC_pearson_15_2f_e_e:F-Li-Nb,0.9357,1.43
mp-755994,Li2 Co2 Si4 O12,ABC6D2_pearson_9_a_a_6a_2a:Co-Li-O-Si,1.4486,1.7111
mp-29468,Rb12 Cl8 O2,A4BC6_pearson_167_ae_b_f:Cl-O-Rb,1.9052,1.6613
mp-1224994,Ga2 Cu2 Te2 Se2,ABCD_pearson_24_a_a_b_c:Cu-Ga-Se-Te,0.2211,0.3874
mp-30951,Cs4 Ti8 I28,AB7C2_pearson_205_a_bd_c:Cs-I-Ti,0.3753,0.1902
mp-754618,Li4 Mn4 F16,A4BC_pearson_14_4e_e_e:F-Li-Mn,1.92,2.1876
wbm-3-44552,Th3 Al2 N6,A2B6C3_pearson_139_e_eg_ae:Al-N-Th,1.2164,0.52
mp-772628,Li12 V4 B8 O24,A2B3C6D_pearson_14_2e_3e_6e_e:B-Li-O-V,2.0667,2.2652
wbm-2-29068,Sc2 W2 N6,A3BC_pearson_2_3i_i_i:N-Sc-W,0.7779,0.3
wbm-1-16731,Er2 Se2 F2,ABC_pearson_194_c_d_a:Er-F-Se,1.8784,1.85
wbm-1-28009,Mg4 I8,A2B_pearson_166_4c_abc:I-Mg,2.6791,3.65
wbm-2-49760,Cs2 Te4 Au6,A3BC2_pearson_2_3i_i_2i:Au-Cs-Te,0.5213,0.09
wbm-3-37092,Cs1 Li1 Mg1 Se2,ABCD2_pearson_119_c_a_b_f:Cs-Li-Mg-Se,2.6701,2.65
mp-29596,Ca12 Al4 N12,AB3C3_pearson_14_e_3e_3e:Al-Ca-N,1.9413,2.8834
mp-14339,K4 Pd6 Se8,A2B3C4_pearson_70_e_ae_h:K-Pd-Se,0.8324,0.9064
wbm-3-73962,Sr2 Dy2 Te6 Au2,ABCD3_pearson_63_c_a_c_cf:Au-Dy-Sr-Te,0.6687,0.67
wbm-1-5270,Tb2 B2 O6,AB3C_pearson_167_a_e_b:B-O-Tb,4.9128,5.09
mp-1110640,K2 In1 As1 Br6,AB6CD2_pearson_225_a_e_b_c:As-Br-In-K,0.359,0.5837
mp-1106051,Y6 Cu6 Sb8,A3B4C3_pearson_220_a_c_b:Cu-Sb-Y,0.4876,0.4569
wbm-1-32641,Na4 U2 Se6,A2B3C_pearson_12_adg_ij_h:Na-Se-U,0.0838,0.01
wbm-1-40860,Mn2 In2 O8,ABC4_pearson_63_a_c_fg:In-Mn-O,0.1175,0.36
wbm-2-37030,Dy2 Cd2 Sb2 O2,ABCD_pearson_129_a_c_b_c:Cd-Dy-O-Sb,0.4741,0.43
wbm-2-35681,Dy2 Mg1 Pd1 O6,A2BC6D_pearson_148_c_a_f_b:Dy-Mg-O-Pd,1.814,1.81
wbm-3-53969,Tb2 Mg1 Cr1 O6,ABC6D2_pearson_12_a_d_ij_i:Cr-Mg-O-Tb,1.0193,1.08
mp-1520861,Na1 Gd1 Hf2 O6,AB2CD6_pearson_225_a_c_b_d:Gd-Hf-Na-O,0.4308,0.74
wbm-4-25127,Cs3 W1 O3 F3,A3B3C3D_pearson_146_3a_b_b_a:Cs-F-O-W,4.5648,4.54
mp-754242,Li1 Fe2 P2 O8,A2BC8D2_pearson_38_c_a_2cde_ab:Fe-Li-O-P,3.4009,0.5076
mp-1247754,Ca3 U1 N4,A3B4C_pearson_139_ad_ce_b:Ca-N-U,0.2013,1.3333
mp-754633,Zn4 Co4 O8,AB2C_pearson_166_a_c_b:Co-O-Zn,1.9844,1.1281
wbm-2-16153,Rb3 Nd1 F6,A6BC3_pearson_69_gm_a_bf:F-Nd-Rb,5.0337,5.04
wbm-2-36958,Hf2 Br4 O2,A2BC_pearson_12_2i_i_i:Br-Hf-O,2.8278,2.74
wbm-1-23623,Li2 In1 Sb1,AB2C_pearson_225_a_c_b:In-Li-Sb,0.2699,0.16
mp-1211012,Li4 Y4 Ge4 O16,ABC4D_pearson_62_c_a_2cd_c:Ge-Li-O-Y,3.6849,3.817
mp-17129,Sr12 Al8 N16,A2B4C3_pearson_52_cd_2e_ce:Al-N-Sr,1.8022,1.904
wbm-3-39889,Rb2 Tm2 Mg2 Se6,ABC3D_pearson_63_c_c_cf_a:Mg-Rb-Se-Tm,2.5048,2.52
mp-1196626,Sr2 Co6 P8 O28,A3B14C4D_pearson_14_ae_7e_2e_b:Co-O-P-Sr,1.9118,3.0817
mp-1094002,Zn2 Ga4 S8,A2B4C_pearson_227_c_e_b:Ga-S-Zn,1.8415,1.559
mp-1029307,Te2 Mo2 W2 S6,AB3CD_pearson_156_ab_2a4b_2a_ab:Mo-S-Te-W,0.2872,0.3074
wbm-1-28097,K2 Mg2 Sb2,ABC_pearson_194_a_c_d:K-Mg-Sb,0.7603,0.94
wbm-3-65330,Ho2 As2 S2,ABC_pearson_129_a_c_c:As-Ho-S,0.166,0.18
mp-771005,Lu4 Ta12 O36,AB9C3_pearson_62_c_3c3d_ad:Lu-O-Ta,2.6391,2.6285
wbm-3-23406,In1 Ru1 F6,A6BC_pearson_12_ij_a_d:F-In-Ru,0.6061,0.12
mp-1019537,Ba2 Al2 Si8 N10 O6,ABC5D3E4_pearson_36_a_a_3ab_ab_2ab:Al-Ba-N-O-Si,3.37,3.2164
mp-1176429,Mn2 V2 P4 O16,AB8C2D_pearson_11_e_4e2f_2e_e:Mn-O-P-V,1.3111,0.899
mp-1114633,Rb3 Sc1 I6,A6B3C_pearson_225_e_ac_b:I-Rb-Sc,2.3327,2.3999
mp-1176242,Li9 Mn2 Co5 O16,A5B9C2D16_pearson_12_ahi_b2ij_e_4i2j:Co-Li-Mn-O,0.9471,1.2492
wbm-1-46343,P4 S4 I4,ABC_pearson_19_a_a_a:I-P-S,2.3757,2.28
wbm-1-30854,Ho2 W2 N6,AB3C_pearson_40_b_3b_b:Ho-N-W,1.4706,1.42
wbm-4-26698,Zr2 Fe1 W1 O6,AB6CD2_pearson_8_a_2a2b_a_2a:Fe-O-W-Zr,1.3502,1.16
wbm-1-30474,Ba3 Ni1 N2 O1,A3B2CD_pearson_123_ah_g_b_c:Ba-N-Ni-O,0.1863,0.74
mp-568761,Ag16 Te16,AB_pearson_62_2cd_2cd:Ag-Te,0.1282,0.2404
mp-1198177,Sn8 P4 O20,A5BC2_pearson_14_5e_e_2e:O-P-Sn,3.2052,0.3299
wbm-1-46287,Co2 P2 S2,ABC_pearson_31_a_a_a:Co-P-S,0.1023,0.08
mp-1209215,Sb24 I8 O32,AB4C3_pearson_33_2a_8a_6a:I-O-Sb,2.4754,2.5352
mp-1113577,Cs2 Al1 Ag1 Br6,ABC6D2_pearson_225_a_b_e_c:Ag-Al-Br-Cs,1.1496,1.4771
mp-766540,Li16 Ti4 S16,A4B4C_pearson_62_acd_2cd_c:Li-S-Ti,2.2614,2.3811
wbm-2-34045,K4 La2 O6,A2BC3_pearson_12_adg_h_ij:K-La-O,0.0522,0.02
wbm-4-11058,Ta1 Rh1 F6,A6BC_pearson_148_f_a_b:F-Rh-Ta,1.1405,1.01
wbm-2-30884,Cs4 Na2 Sb2,A2BC_pearson_194_f_b_c:Cs-Na-Sb,0.208,0.47
mp-1190373,K4 V4 Co2 O14,AB2C7D2_pearson_113_a_e_cef_e:Co-K-O-V,2.3027,2.5976
mp-1516811,Sr1 Eu1 Bi1 Sb1 O6,ABC6DE_pearson_216_a_c_f_b_d:Bi-Eu-O-Sb-Sr,0.4237,0.1503
mp-17863,Mn4 Si2 P8 O28,A2B14C4D_pearson_15_f_7f_2f_e:Mn-O-P-Si,0.5926,4.0263
mp-756822,V4 O1 F11,A11BC4_pearson_5_a5c_b_2c:F-O-V,0.8868,1.198
mp-1197488,Er8 Zr4 S20,A2B5C_pearson_62_d_3cd_c:Er-S-Zr,1.2805,1.277
wbm-4-26390,Er2 Co1 Pt1 O6,AB2C6D_pearson_12_a_i_ij_d:Co-Er-O-Pt,1.5671,1.61
wbm-1-14812,Sn4 Cl2 F6,AB3C2_pearson_11_e_ef_f:Cl-F-Sn,2.6349,3.22
wbm-5-6666,Tm1 In1 F6,A6BC_pearson_148_f_a_b:F-In-Tm,5.5085,5.7
mp-555355,Si12 O24,A2B_pearson_177_j2lm_n:O-Si,1.1618,1.2547
wbm-1-30208,Te8 Mo4,AB2_pearson_194_c_f:Mo-Te,1.1587,0.98
wbm-2-23030,K6 Tl2 As4,A2B3C_pearson_72_j_aj_b:As-K-Tl,0.2225,0.33
wbm-1-38947,K1 Br1 O3,ABC3_pearson_221_b_a_c:Br-K-O,1.1404,0.28
mp-1178197,Ge2 N2 O1,A2B2C_pearson_44_c_c_a:Ge-N-O,1.4178,2.5129
mp-1064814,K2 C2,AB_pearson_12_ad_i:C-K,0.0417,0.5863
wbm-1-39426,Rb4 Pu2 O6,A3BC2_pearson_12_ij_g_adh:O-Pu-Rb,0.1815,0.12
mp-1192642,Tm16 In6 Co2,AB3C8_pearson_186_b_c_ab2c:Co-In-Tm,0.0801,0.0279
wbm-1-5243,Na2 Ca2 B2 O6,ABCD3_pearson_12_i_i_ac_ij:B-Ca-Na-O,3.4613,3.83
mp-573119,Bi4 Rh4 O12,AB3C_pearson_62_c_cd_a:Bi-O-Rh,0.1426,0.3794
mp-675192,Ce3 Dy2 O9,A3B2C9_pearson_119_ae_e_c4f:Ce-Dy-O,1.9036,2.046
wbm-5-21982,V2 Se1 Br2,A2BC2_pearson_166_c_a_c:Br-Se-V,0.6906,0.55
mp-29394,Gd2 C1 Cl2,AB2C2_pearson_164_a_d_d:C-Cl-Gd,0.313,0.5094
wbm-3-50325,Sm2 Cu1 Cl1 O2,ABC2D2_pearson_166_a_b_c_c:Cl-Cu-O-Sm,0.2357,0.03
mp-753809,Ba2 Ca2 I8,ABC4_pearson_13_e_f_2g:Ba-Ca-I,3.5372,3.817
mp-540618,K12 I4 O20,AB3C5_pearson_130_c_abc_cg:I-K-O,2.5848,1.2925
mp-1205438,Sr2 Cu2 H8 C8 O16,A4BC4D8E_pearson_13_2g_e_2g_4g_f:C-Cu-H-O-Sr,0.7802,0.7608
wbm-1-55557,Ba1 Si1 Ag2 S4,A2BC4D_pearson_23_f_a_k_b:Ag-Ba-S-Si,1.0531,1.09
mp-1228076,Ba4 Sr1 Sn5 O15,A4B15C5D_pearson_123_2h_ae2g2i_b2g_c:Ba-O-Sn-Sr,0.3479,0.4498
wbm-4-25408,K3 Rh1 O4,A3B4C_pearson_121_ad_i_b:K-O-Rh,0.8124,0.8
wbm-4-30732,Rb4 Hg4 Bi4,ABC_pearson_62_c_c_c:Bi-Hg-Rb,0.1512,0.05
mp-755175,Al8 O12,A2B3_pearson_163_bcf_i:Al-O,4.5836,5.4938
mp-1188269,Pb4 S8 N8,A2BC2_pearson_14_2e_e_2e:N-Pb-S,1.6397,1.7672
mp-19970,Li12 Cu4 O12,AB3C3_pearson_136_f_fi_gi:Cu-Li-O,0.6877,1.2968
mp-1208777,Sr3 Nb1 Ga3 Si2 O14,A3BC14D2E3_pearson_150_f_a_d2g_d_e:Ga-Nb-O-Si-Sr,3.2607,3.4242
mp-764685,Li4 V4 O4 F12,A3BCD_pearson_7_6a_2a_2a_2a:F-Li-O-V,1.8036,2.222
mp-1217624,Tb8 Cu8 Te16,ABC2_pearson_164_di_ci_2d2i:Cu-Tb-Te,0.55,0.5872
wbm-1-44149,K2 Na1 Mn1 O1 F5,A5B2CDE_pearson_107_ac_b_a_a_a:F-K-Mn-Na-O,0.9923,1.08
mp-1196877,Ba2 Al8 Sb4 O24,A4BC12D2_pearson_87_i_e_2h2i_h:Al-Ba-O-Sb,3.4153,3.2625
mp-1218576,Sr6 Zr2 Ti4 O18,A9B3C2D_pearson_12_g6ij_hj_abi_i:O-Sr-Ti-Zr,1.8185,1.9426
mp-1209696,Sm12 Co6 Pb1,A6BC12_pearson_204_e_a_g:Co-Pb-Sm,0.0428,0.0069
mp-1181863,Cr4 O6,A2B3_pearson_15_f_ef:Cr-O,1.0868,1.2217
mp-540866,Na12 Mg4 C8 S2 O32,A4B2C6D16E_pearson_227_e_c_f_eg_b:C-Mg-Na-O-S,2.7528,3.7262
mp-1223490,K4 C4 N4,ABC_pearson_1_4a_4a_4a:C-K-N,3.0329,5.2482
wbm-5-7017,La1 Sc1 F6,A6BC_pearson_225_e_a_b:F-La-Sc,6.3748,6.64
mp-756322,Hf4 Cr4 O12,ABC3_pearson_62_a_c_cd:Cr-Hf-O,1.4704,1.5871
mp-1221207,Na8 Ca4 Si2 P8,A2B4C4D_pearson_9_2a_4a_4a_a:Ca-Na-P-Si,0.9152,1.0094
mp-606312,In4 P12 H8 O40,A2BC10D3_pearson_14_2e_e_10e_3e:H-In-O-P,4.3005,3.8856
wbm-4-11307,Eu1 Lu2 F8,AB8C2_pearson_12_a_gij_h:Eu-F-Lu,0.8925,1.26
mp-1228968,Ba8 Ge4 Pb2 S16 Br4,A4B2C2DE8_pearson_31_2b_2a_2a_a_4a2b:Ba-Br-Ge-Pb-S,2.1792,2.0767
wbm-2-36682,K1 Tb1 W2 O8,AB8CD2_pearson_164_a_di_b_d:K-O-Tb-W,4.7315,4.71
mp-560963,Rb2 Na1 Mo1 F6,A6BCD2_pearson_225_e_a_b_c:F-Mo-Na-Rb,4.2997,4.1582
mp-5350,Zn1 Ga2 S4,A2B4C_pearson_82_ac_g_b:Ga-S-Zn,2.3022,2.2765
mp-1291978,Li6 Fe4 O12,A2B3C6_pearson_5_2a_3b_3c:Fe-Li-O,0.1842,0.1408
mp-1219679,Pr2 Br2 Cl4,AB2C_pearson_6_2a_a3b_ab:Br-Cl-Pr,0.1956,3.8912
mp-776069,Ti3 Cr2 Fe1 P6 O24,A2BC24D6E3_pearson_146_2a_a_8b_2b_3a:Cr-Fe-O-P-Ti,0.0241,0.1475
mp-608014,K2 Ge2 Pb2 O7,A2B2C7D2_pearson_147_c_d_ag_d:Ge-K-O-Pb,0.9399,3.3341
mp-1195246,Sc8 Te4 Se8 O40,A10B2C2D_pearson_14_10e_2e_2e_e:O-Sc-Se-Te,3.2932,3.4939
mp-620372,Rb8 Se20,A2B5_pearson_19_2a_5a:Rb-Se,0.8505,0.8371
mp-771008,Ba24 Br16 O16,A3B2C2_pearson_14_6e_4e_4e:Ba-Br-O,2.7083,2.4718
mp-1252807,Sr4 Al2 Ga2 Co4 O14,AB2CD7E2_pearson_5_ab_2c_c_7c_2c:Al-Co-Ga-O-Sr,0.3394,0.8267
wbm-4-27325,Yb2 Pr1 Ta1 O6,A6BCD2_pearson_12_ij_a_d_i:O-Pr-Ta-Yb,3.3992,3.39
mp-753713,Li16 Fe4 Si8 O28,AB4C7D2_pearson_5_a_2c_b3c_c:Fe-Li-O-Si,2.8199,3.4421
mp-1228866,Al1 In1 Sb2,ABC2_pearson_160_a_a_2a:Al-In-Sb,0.3591,0.2376
mp-1211904,K4 U2 Mo6 O24,A2B3C12D_pearson_15_f_ef_6f_e:K-Mo-O-U,2.2066,0.0267
wbm-2-16591,Na2 Ca1 Zr1 F8,AB8C2D_pearson_5_a_4c_ab_b:Ca-F-Na-Zr,4.9366,5.87
wbm-2-15121,Al2 Tl2 F8,AB4C_pearson_12_e_gij_i:Al-F-Tl,4.5439,4.34
wbm-1-37333,Na4 In4 O8,ABC2_pearson_33_a_a_2a:In-Na-O,1.2567,1.57
mp-1220877,Na1 Ti3 Fe1 O8,ABC8D3_pearson_8_a_a_8a_3a:Fe-Na-O-Ti,2.0726,2.1305
mp-1209393,Rb4 Gd4 Mo8 O32,AB2C8D_pearson_60_c_d_4d_c:Gd-Mo-O-Rb,2.4976,3.2095
mp-1245331,Ti4 Pb28 N24,A6B7C_pearson_60_3d_c3d_c:N-Pb-Ti,0.6582,0.5996
mp-760477,Sm2 B2 O6,AB3C_pearson_40_b_bc_a:B-O-Sm,3.9045,4.4306
mp-756052,Ca6 Zr4 O14,A3B7C2_pearson_63_cg_c2eg_g:Ca-O-Zr,3.0937,3.3217
wbm-1-25009,Li2 Pr2 F8,A4BC_pearson_125_m_c_b:F-Li-Pr,6.9452,7.1
wbm-3-21521,Tm2 Cu2 Te4,AB2C_pearson_113_a_e_c:Cu-Te-Tm,0.9132,0.67
mp-1289737,Cs4 Co4 O8,ABC2_pearson_51_ef_ef_adk:Co-Cs-O,0.9208,0.8513
wbm-2-15718,K1 Bi1 F6,AB6C_pearson_225_a_e_b:Bi-F-K,2.6276,2.9
mp-1006878,Ba1 O2,AB2_pearson_65_a_h:Ba-O,1.6955,2.3433
mp-776273,Zr12 N12 O6,A2BC2_pearson_12_6i_3i_6i:N-O-Zr,1.0902,1.699
mp-1194211,Cu4 H8 C4 N8 Cl4,ABCD2E2_pearson_62_c_c_c_2c_2c:C-Cl-Cu-H-N,2.539,2.2499
wbm-1-14922,Pb4 I2 F6,A3BC2_pearson_36_3a_a_2a:F-I-Pb,2.8495,3.07
mp-23411,K4 Te2 Br12,A6B2C_pearson_128_eh_d_a:Br-K-Te,1.3497,2.2277
wbm-1-14393,Ba2 La2 Cu2 Te6,ABCD3_pearson_63_c_c_a_cf:Ba-Cu-La-Te,0.9093,0.83
mp-1518526,Sr2 Zr1 Ti1 O6,A6B2CD_pearson_225_e_c_a_b:O-Sr-Ti-Zr,2.311,2.3507
wbm-1-16304,Cs2 Rb1 Rh1 F6,A2B6CD_pearson_225_c_e_a_b:Cs-F-Rb-Rh,2.0607,2.03
mp-1078836,K2 I2,AB_pearson_63_c_a:I-K,3.8965,3.7452
mp-1192278,Cd2 C4 N8 O8,A2BC4D4_pearson_18_c_a_2c_2c:C-Cd-N-O,3.3598,2.4484
mp-545487,Cs2 C4 O4,A2BC2_pearson_12_j_i_j:C-Cs-O,3.1742,2.7232
mp-1078391,Ca1 Zn1 C2 O6,A2BC6D_pearson_148_c_a_f_b:C-Ca-O-Zn,3.9993,3.9639
wbm-1-49904,Cs4 V2 S6,A2B3C_pearson_63_g_ce_c:Cs-S-V,0.4538,0.53
wbm-4-33738,Sc1 In2 Ag1,AB2C_pearson_225_a_c_b:Ag-In-Sc,0.1423,0.05
wbm-4-7991,Rb4 Co1 Bi2,A2BC4_pearson_166_c_a_2c:Bi-Co-Rb,0.0998,0.13
mp-759421,Li3 V1 F7,A7B3C_pearson_160_a2b_b_a:F-Li-V,1.8312,1.9246
wbm-1-43214,Mg2 Sb2 O7,A2B7C2_pearson_12_h_aij_i:Mg-O-Sb,2.0394,2.07
wbm-3-54301,Ba2 In1 Mo1 O6,A2BCD6_pearson_225_c_a_b_e:Ba-In-Mo-O,1.3913,1.26
mp-17662,Lu4 Pd2 O8,A2B4C_pearson_64_d_ef_a:Lu-O-Pd,1.371,0.615
mp-651786,Ca5 Mn1 Si9 Pb9 O33,A5BC33D9E9_pearson_174_agh_c_j2k4l_kl_kl:Ca-Mn-O-Pb-Si,3.0562,2.816
mp-754842,Li2 Fe2 Si2 O8,ABC4D_pearson_7_a_a_4a_a:Fe-Li-O-Si,2.7657,2.985
mp-1187886,Yb2 Al2 O5,A2B5C2_pearson_123_h_ci_ab:Al-O-Yb,2.123,2.2844
wbm-2-30192,Na4 Ca2 Si2,AB2C_pearson_59_a_e_b:Ca-Na-Si,0.0741,0.17
mp-984696,Hf3 Tl12 Te12,AB4C4_pearson_148_ac_2f_2f:Hf-Te-Tl,0.9048,1.1625
mp-764344,Li8 Fe4 Si4 O16,AB2C4D_pearson_4_a_2a_4a_a:Fe-Li-O-Si,2.8158,2.9324
mp-28344,Zr12 C2 I28,AB14C6_pearson_64_a_def2g_fg:C-I-Zr,0.2454,0.7964
mp-1105094,Tl4 Hg4 Cl12,A3BC_pearson_62_3c_c_c:Cl-Hg-Tl,3.0967,2.6787
mp-1096980,Fe1 Ag1 O2,ABC2_pearson_160_a_a_2a:Ag-Fe-O,0.8332,0.6228
wbm-1-28514,Mg1 In2 S4,A2BC4_pearson_156_ac_b_2a2b:In-Mg-S,0.7874,0.48
wbm-4-3799,Tl1 Co1 B2 O6,A2BC6D_pearson_148_c_a_f_b:B-Co-O-Tl,0.3909,1.87
wbm-1-9433,Cd1 I2,AB2_pearson_166_a_c:Cd-I,2.5869,2.33
mp-1222040,Mn4 Cu8 S8,A2BC2_pearson_216_acf_e_2e:Cu-Mn-S,0.4578,0.3019
wbm-2-43484,In4 Se4 S2,A2BC2_pearson_109_b_a_b:In-S-Se,1.3802,1.37
wbm-4-26786,K2 Hf1 Se1 O6,AB2C6D_pearson_225_a_c_e_b:Hf-K-O-Se,1.9745,1.17
mp-765578,Li4 V2 Si8 O22,A2B11C4D_pearson_87_h_abh2i_i_e:Li-O-Si-V,1.7343,1.0675
mp-1207969,Y2 Co2 C12 N12 O10,A6BC6D5E_pearson_176_i_b_i_fh_c:C-Co-N-O-Y,0.2811,0.5106
mp-5830,Na12 As4 S12,AB3C3_pearson_198_a_3a_b:As-Na-S,2.2197,2.5478
mp-1105239,Dy2 Tl2 P4 Se12,AB2C6D_pearson_4_a_2a_6a_a:Dy-P-Se-Tl,1.5082,1.5375
mp-768946,Li8 Cr6 Co2 O16,AB3C4D8_pearson_2_a_bi_2i_4i:Co-Cr-Li-O,0.5577,0.8766
wbm-4-26948,Nd2 Mg1 Ti1 O6,AB2C6D_pearson_12_a_i_ij_d:Mg-Nd-O-Ti,3.0295,3.17
wbm-3-22245,K1 Al1 Ga2 F6,AB6C2D_pearson_166_a_h_c_b:Al-F-Ga-K,4.1938,4.3
wbm-4-27502,Yb3 Se1 O6,A6BC3_pearson_148_f_a_bc:O-Se-Yb,2.6394,2.65
mp-556419,Re4 O8 F12,A3B2C_pearson_14_3e_2e_e:F-O-Re,2.3475,3.4309
mp-554554,K18 Bi2 P8 S32,AB9C4D16_pearson_18_a_a4c_2c_8c:Bi-K-P-S,2.286,2.0563
wbm-3-53760,Sr2 Ta1 Ga1 O6,AB6C2D_pearson_2_b_3i_i_e:Ga-O-Sr-Ta,2.1449,4.07
wbm-1-15435,Sr2 Zn2 F8,A4BC_pearson_36_4a_a_a:F-Sr-Zn,4.7972,4.37
mp-4586,Li2 Al2 Te4,ABC2_pearson_122_a_b_d:Al-Li-Te,2.4433,2.6599
mp-1176699,Li4 Fe4 P4 O16,ABC4D_pearson_4_2a_2a_8a_2a:Fe-Li-O-P,3.379,3.3194
